Model Run,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,b6,b7,b8,b9,c1,c2,c3,c4,c5,c6,c7,c8,c9,d1,d2,d3,d4,d5,d6,d7,d8,d9,e1,e2,e3,e4,e5,e6,e7,e8,e9,f1,f2,f3,f4,f5,f6,f7,f8,f9,g1,g2,g3,g4,g5,g6,g7,g8,g9,h1,h2,h3,h4,h5,h6,h7,h8,h9,i1,i2,i3,i4,i5,i6,i7,i8,i9,j1,j2,j3,j4,j5,j6,j7,j8,j9,k1,k2,k3,k4,k5,k6,k7,k8,k9,l1,l2,l3,l4,l5,l6,l7,l8,l9,m1,m2,m3,m4,m5,m6,m7,m8,m9,n1,n2,n3,n4,n5,n6,n7,n8,n9,o1,o2,o3,o4,o5,o6,o7,o8,o9,p1,p2,p3,p4,p5,p6,p7,p8,p9,q1,q2,q3,q4,q5,q6,q7,q8,q9,r1,r2,r3,r4,r5,r6,r7,r8,r9,s1,s2,s3,s4,s5,s6,s7,s8,s9,t1,t2,t3,t4,t5,t6,t7,t8,t9,u1,u2,u3,u4,u5,u6,u7,u8,u9,v1,v2,v3,v4,v5,v6,v7,v8,v9,w1,w2,w3,w4,w5,w6,w7,w8,w9,x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9,z1,z2,z3,z4,z5,z6,z7,z8,z9,zz1,zz2,zz3,zz4,zz5,zz6,zz7,zz8,zz9
Run Letter,a,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,b,c,c,c,c,c,c,c,c,c,d,d,d,d,d,d,d,d,d,e,e,e,e,e,e,e,e,e,f,f,f,f,f,f,f,f,f,g,g,g,g,g,g,g,g,g,h,h,h,h,h,h,h,h,h,i,i,i,i,i,i,i,i,i,j,j,j,j,j,j,j,j,j,k,k,k,k,k,k,k,k,k,l,l,l,l,l,l,l,l,l,m,m,m,m,m,m,m,m,m,n,n,n,n,n,n,n,n,n,o,o,o,o,o,o,o,o,o,p,p,p,p,p,p,p,p,p,q,q,q,q,q,q,q,q,q,r,r,r,r,r,r,r,r,r,s,s,s,s,s,s,s,s,s,t,t,t,t,t,t,t,t,t,u,u,u,u,u,u,u,u,u,v,v,v,v,v,v,v,v,v,w,w,w,w,w,w,w,w,w,x,x,x,x,x,x,x,x,x,y,y,y,y,y,y,y,y,y,z,z,z,z,z,z,z,z,z,zz,zz,zz,zz,zz,zz,zz,zz,zz
Run Number,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9
Wave Height (m),0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,2.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,0.5,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5
Wave Period (s),7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,10,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,7,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13,7,10,13
Wave Direction (deg),180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
SBW distance offshore (m),150,150,150,150,150,150,150,150,150,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,450,450,450,150,150,150,150,150,150,150,150,150,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,450,450,450,150,150,150,150,150,150,150,150,150,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,450,450,450,150,150,150,150,150,150,150,150,150,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,450,450,450,150,150,150,150,150,150,150,150,150,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,450,450,450,150,150,150,150,150,150,150,150,150,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,450,450,450,150,150,150,150,150,150,150,150,150,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,450,450,450,150,150,150,150,150,150,150,150,150,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,450,450,450,150,150,150,150,150,150,150,150,150,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,450,450,450
SBW length (m),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
SBW width (m),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
